"fund_type","fund_name","fund_number"
"Special Revenue Funds","Local Enforcement Agency Fund","200226"
"Special Revenue Funds","Long Range Property Management Fund","200723"
"Special Revenue Funds","Lopez Canyon Stormwater MAD Fund","200041"
"Special Revenue Funds","Los Penasquitos Canyon Preserve Fund","200303"
"Special Revenue Funds","Low & Moderate Income Housing Asset Fund","200708"
"Special Revenue Funds","Maintenance Assessment District (MAD) Management Fund","200023"
"Special Revenue Funds","Major Events Revolving Fund","200214"
"Special Revenue Funds","Mid-City MAD Fund","200049"
"Special Revenue Funds","Miramar Ranch North MAD Fund","200047"
"Special Revenue Funds","Mira Mesa MAD Fund","200037"
"Special Revenue Funds","Mission Bay/Balboa Park Improvement Fund","200213"
"Special Revenue Funds","Mission Boulevard MAD Fund","200032"
"Special Revenue Funds","Mission Hills Special Lighting MAD Fund","200614"
"Special Revenue Funds","New Convention Facility Fund","200216"
"Special Revenue Funds","Newport Avenue MAD Fund","200055"
"Special Revenue Funds","North Park MAD Fund","200063"
"Special Revenue Funds","North Torrey Pines MAD Fund","200069"
"Special Revenue Funds","Northwest Otay Mesa MAD Fund","200072"
"Special Revenue Funds","Ocean View Hills MAD Fund","200096"
"Special Revenue Funds","OneSD Support Fund","200610"
"Special Revenue Funds","Otay International Center MAD Fund","200058"
"Special Revenue Funds","Pacific Highlands Ranch MAD Fund","200099"
"Special Revenue Funds","Parking Meter Operations Fund","200712"
"Special Revenue Funds","Park Village MAD Fund","200042"
"Special Revenue Funds","Penasquitos East MAD Fund","200039"
"Special Revenue Funds","PETCO Park Fund","200208"
"Special Revenue Funds","Police Decentralization Fund","200113"
"Special Revenue Funds","Prop 42 Replacement - Transportation Relief Fund","200306"
"Special Revenue Funds","Public Art Fund","200002"
"Special Revenue Funds","Public Safety Services & Debt Service Fund","200638"
"Special Revenue Funds","Rancho Bernardo MAD Fund","200038"
"Special Revenue Funds","Rancho Encantada MAD Fund","200101"
"Special Revenue Funds","Redevelopment Fund","200229"
"Special Revenue Funds","Remington Hills MAD Fund","200098"
"Special Revenue Funds","Road Maintenance and Rehabilitation Fund","200731"
"Special Revenue Funds","Robinhood Ridge MAD Fund","200097"
"Special Revenue Funds","Sabre Springs MAD Fund","200035"
"Special Revenue Funds","San Ysidro Boulevard MAD Fund","200051"
"Special Revenue Funds","Scripps/Miramar Ranch MAD Fund","200028"
"Special Revenue Funds","Seized Assets - California Fund","200222"
"Special Revenue Funds","Seized Assets - Federal DOJ Fund","200221"
"Special Revenue Funds","Seized Assets - Federal Treasury Fund","200223"
"Special Revenue Funds","Seized & Forfeited Assets Fund","200220"
"Special Revenue Funds","Serious Traffic Offenders Program Fund","200305"
"Special Revenue Funds","Stadium Operations Fund","200115"
"Special Revenue Funds","State COPS","200722"
"Special Revenue Funds","Stonecrest Village MAD Fund","200067"
"Special Revenue Funds","Storm Drain Fund","200301"
"Special Revenue Funds","Street Light District #1 MAD Fund","200025"
"Special Revenue Funds","Successor Agency Admin & Project - CivicSD Fund","200729"
"Special Revenue Funds","Talmadge MAD Fund","200076"
"Special Revenue Funds","Talmadge Park North MAD","200720"
"Special Revenue Funds","Talmadge Park South MAD","200721"
"Special Revenue Funds","Tierrasanta MAD Fund","200030"
"Special Revenue Funds","Torrey Highlands MAD Fund","200074"
"Special Revenue Funds","Torrey Hills MAD Fund","200070"
"Special Revenue Funds","Transient Occupancy Tax Fund","200205"
"Special Revenue Funds","Trolley Extension Reserve Fund","200114"
"Special Revenue Funds","Underground Surcharge Fund","200217"
"Special Revenue Funds","University Heights MAD Fund","200093"
"Special Revenue Funds","Washington Street MAD Fund","200057"
"Special Revenue Funds","Webster-Federal Boulevard MAD Fund","200066"
"Special Revenue Funds","Wireless Communications Technology Fund","200611"
"Special Revenue Funds","Zoological Exhibits Maintenance Fund","200219"
"Stadium Fund","Stadium Operations CIP Fund","C200116"
"State Grants","Fire Station #22-State Grant","C400634"
"State Grants","Grant Fund-Enterprise-State","C710001"
"State Grants","Grant Fund - State","C600001"
"State Grants","OB Plygrd Surface RZH2002","C400018"
"Storm Drain Fund","Storm Drain Fund","C200301"
"Sunset Cliffs Natural Park Fund","Sunset Cliffs Natural Park","C200463"
"TransNet - Extension Bikeways","Prop A-(Bikeway)","C400158"
"TransNet Funds","ISTEA-TransNet Exchange","C400162"
"TransNet Funds","TransNet ARRA Exchange Fund","C400677"
"TransNet Funds","TransNet Extension Administration & Debt Fund","C400171"
"TransNet Funds","TransNet Extension Commercial Paper Fund","C400172"
"TransNet Funds","TransNet Extension Congestion Relief Fund","C400169"
"TransNet Funds","TransNet Extension Major Corridor","C400173"
"TransNet Funds","TransNet Infrastructure Fund","C400168"
"TransNet Funds","TransNet Older Community Fund","C400166"
"TransNet Funds","TransNet (Prop A 1/2% Sales Tax)","C400156"
"Trench Cut/Excavation Fee Fund","Trench Cut Fees/Excavation Fee Fund","C200203"
"Utilities Undergrounding Program Fund","Archeological Monitoring - UUDS","C200496"
"Utilities Undergrounding Program Fund","Del Mar Terraces","C200501"
"Utilities Undergrounding Program Fund","La Jolla Mesa Vista Undergrounding","C200502"
"Utilities Undergrounding Program Fund","Underground Surcharge CIP Fund","C200218"
"Water Fund","PFFA-Water Rev Bonds Series 2016A","C700095"
"Water Fund","Water Contributions To CIP","C700015"
"Water Fund","Water SDG&E Utility Relocation","C700105"
"Water Fund","Water Utility - CIP Funding Source","C700010"
"Water Fund","Water Utility Operating Fund","C700011"
